"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
200	140	174	174	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
201	141	172	172	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Solanum_linnaeanum"	951120	2.69
202	142	171	171	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_linnaeanum"	951120	2.69
203	143	171	171	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
204	144	168	168	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
205	145	168	168	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
206	146	161	161	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
207	147	160	160	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_linnaeanum"	951120	2.69
208	148	159	159	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
209	149	158	158	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
210	150	156	156	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
211	151	155	155	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
212	152	154	154	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
213	153	152	152	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
214	154	148	148	"All/organelle/mitochondria"	"Other"	"All/organelle/mitochondria"	"Solanum_linnaeanum"	951120	2.69
215	155	145	145	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
216	156	138	138	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
217	157	137	137	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
218	158	136	136	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
219	159	136	136	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
220	160	132	132	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
221	161	132	132	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
222	162	130	130	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
223	163	127	127	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
224	164	127	127	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
225	165	126	126	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
226	166	126	126	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
227	167	125	125	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
228	168	125	125	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
229	169	125	125	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Solanum_linnaeanum"	951120	2.69
230	170	123	123	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
231	171	120	120	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
232	172	120	120	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
233	173	120	120	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
234	174	117	117	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
235	175	114	114	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
236	176	114	114	"All/organelle/mitochondria"	"Other"	"All/organelle/mitochondria"	"Solanum_linnaeanum"	951120	2.69
237	177	114	114	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
238	178	110	110	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
239	179	109	109	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
240	180	108	108	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
241	181	108	108	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
242	182	108	108	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
243	183	106	106	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Solanum_linnaeanum"	951120	2.69
244	184	104	104	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
245	185	104	104	"All/organelle/mitochondria"	"Other"	"All/organelle/mitochondria"	"Solanum_linnaeanum"	951120	2.69
246	186	103	103	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
247	187	103	103	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Solanum_linnaeanum"	951120	2.69
248	188	102	102	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
249	189	101	101	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
250	190	101	101	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
251	191	98	98	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Solanum_linnaeanum"	951120	2.69
252	192	98	98	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
253	193	96	96	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
254	194	95	95	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
